Event,Time,Region,Standard Deviation,Min,Max,Mean
Winter Solstice,2002-12-22 09:00:00,California Coast,2.3809843,279.28198,296.125,289.50253
Winter Solstice,2003-12-22 09:00:00,California Coast,2.430735,278.862,294.56598,289.63965
Winter Solstice,2004-12-21 09:00:00,California Coast,2.407169,280.796,294.255,289.30057
Winter Solstice,2005-12-21 09:00:00,California Coast,2.4709485,279.095,293.962,289.44833
Winter Solstice,2006-12-22 09:00:00,California Coast,2.5229073,274.365,296.921,289.48764
Winter Solstice,2007-12-22 09:00:00,California Coast,2.5222526,274.28198,294.016,288.74323
Winter Solstice,2008-12-21 09:00:00,California Coast,2.6004395,278.88898,295.998,289.08542
Winter Solstice,2009-12-21 09:00:00,California Coast,2.624335,280.26898,296.573,289.51047
Winter Solstice,2010-12-21 09:00:00,California Coast,2.2943964,281.163,295.479,289.1312
Winter Solstice,2011-12-22 09:00:00,California Coast,2.3825052,273.35,293.40698,288.77637
Winter Solstice,2012-12-21 09:00:00,California Coast,2.5055645,276.172,296.09,289.6829
Winter Solstice,2013-12-21 09:00:00,California Coast,2.6990218,273.37,294.972,289.0746
Winter Solstice,2014-12-21 09:00:00,California Coast,2.2711027,277.221,296.81,291.47595
Winter Solstice,2015-12-22 09:00:00,California Coast,2.5294328,282.352,297.98898,290.40933
Winter Solstice,2016-12-21 09:00:00,California Coast,2.2995377,273.82898,294.387,289.98135
Winter Solstice,2017-12-21 09:00:00,California Coast,2.4341977,276.453,296.169,290.30807
Winter Solstice,2018-12-21 09:00:00,California Coast,2.2741523,282.76498,295.88,290.49896
Winter Solstice,2019-12-22 09:00:00,California Coast,2.5542057,282.658,294.979,289.74673
Winter Solstice,2020-12-21 09:00:00,California Coast,2.425445,281.85098,294.643,289.77344
